,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,dg_id,player_name,am,event_name,course_name,course,early_late,pga_number,current_round,start_hole,r1_teetime,r2_teetime,r3_teetime,r4_teetime,unofficial
,17723,"Lower, Justin",0,Farmers Insurance Open,,,1,40162,1,10,2026-01-29 9:10,2026-01-30 10:16,,,0
,14926,"Malnati, Peter",0,Farmers Insurance Open,,,,34466,1,10,2026-01-29 10:38,2026-01-30 9:21,,,1899-12-30 0:00
,13562,"Matsuyama, Hideki",0,Farmers Insurance Open,,,,32839,1,10,2026-01-29 10:38,2026-01-30 9:32,,,1899-12-30 0:00
,19870,"McCarthy, Denny",0,Farmers Insurance Open,,,1,47993,1,1,2026-01-29 9:10,2026-01-30 10:16,,,1899-12-30 0:00
,28635,"McCarty, Matt",0,Farmers Insurance Open,,,,59141,1,10,2026-01-29 10:49,2026-01-30 9:32,,,1899-12-30 0:00
,23505,"McGreevy, Max",0,Farmers Insurance Open,,,1,51950,1,1,2026-01-29 9:21,2026-01-30 10:27,,,1899-12-30 0:00
,18634,"McNealy, Maverick",0,Farmers Insurance Open,,,1,46442,1,10,2026-01-29 9:32,2026-01-30 10:38,,,1899-12-30 0:00
,28159,"Meissner, Mac",0,Farmers Insurance Open,,,1,59143,1,1,2026-01-29 9:10,2026-01-30 10:16,,,1899-12-30 0:00
,17365,"Mitchell, Keith",0,Farmers Insurance Open,,,,39546,1,10,2026-01-29 10:27,2026-01-30 9:21,,,1899-12-30 0:00
,21944,"Moore, Taylor",0,Farmers Insurance Open,,,1,49947,1,10,2026-01-29 9:21,2026-01-30 10:27,,,1899-12-30 0:00
,29770,"Mouw, William",0,Farmers Insurance Open,,,1,63121,1,10,2026-01-29 9:43,2026-01-30 10:49,,,1899-12-30 0:00
,21074,"Nakajima, Keita",0,Farmers Insurance Open,,,1,49228,1,10,2026-01-29 9:54,2026-01-30 11:00,,,1899-12-30 0:00
,23841,"Neergaard-Petersen, Rasmus",0,Farmers Insurance Open,,,1,52689,1,1,2026-01-29 10:05,2026-01-30 11:11,,,1899-12-30 0:00
,10419,"Noren, Alex",0,Farmers Insurance Open,,,,27349,1,1,2026-01-29 10:49,2026-01-30 9:43,,,1899-12-30 0:00
,11657,"Norlander, Henrik",0,Farmers Insurance Open,,,1,30163,1,1,2026-01-29 9:21,2026-01-30 10:27,,,1899-12-30 0:00
,23475,"Novak, Andrew",0,Farmers Insurance Open,,,,51997,1,10,2026-01-29 10:49,2026-01-30 9:32,,,1899-12-30 0:00
,25475,"Nyholm, Pontus",0,Farmers Insurance Open,,,,55851,1,10,2026-01-29 11:11,2026-01-30 9:54,,,1899-12-30 0:00
,13412,"Olesen, Thorbjorn",0,Farmers Insurance Open,,,,33968,1,10,2026-01-29 10:27,2026-01-30 9:10,,,1899-12-30 0:00
,13764,"Parry, John",0,Farmers Insurance Open,,,,28723,1,1,2026-01-29 11:00,2026-01-30 9:54,,,1899-12-30 0:00
,22087,"Paul, Jeremy",0,Farmers Insurance Open,,,,50582,1,10,2026-01-29 11:22,2026-01-30 10:05,,,1899-12-30 0:00
,19960,"Pavon, Matthieu",0,Farmers Insurance Open,,,,48153,1,10,2026-01-29 11:00,2026-01-30 9:54,,,1899-12-30 0:00
,17780,"Pendrith, Taylor",0,Farmers Insurance Open,,,1,40250,1,10,2026-01-29 9:32,2026-01-30 10:38,,,1899-12-30 0:00
,22465,"Penge, Marco",0,Farmers Insurance Open,,,,51003,1,1,2026-01-29 10:49,2026-01-30 9:43,,,1899-12-30 0:00
